,Date,Values
648,2020-01-28,-6.78
649,2020-01-28,-6.78
650,2020-01-28,-6.78
651,2020-01-28,-6.78
652,2020-01-28,-6.78
653,2020-01-28,-6.78
654,2020-01-28,-6.78
655,2020-01-28,-6.78
656,2020-01-28,-6.78
657,2020-01-28,-6.78
658,2020-01-28,-6.78
659,2020-01-28,-6.78
660,2020-01-28,-6.78
661,2020-01-28,-6.78
662,2020-01-28,-6.78
663,2020-01-28,-6.78
664,2020-01-28,-6.78
665,2020-01-28,-6.78
666,2020-01-28,-6.78
667,2020-01-28,-6.78
668,2020-01-28,-6.78
669,2020-01-28,-6.78
670,2020-01-28,-6.78
671,2020-01-29,-6.78
672,2020-01-29,-6.78
673,2020-01-29,-6.78
674,2020-01-29,-6.78
675,2020-01-29,-6.78
676,2020-01-29,-6.77
677,2020-01-29,-6.77
678,2020-01-29,-6.77
679,2020-01-29,-6.77
680,2020-01-29,-6.77
681,2020-01-29,-6.77
682,2020-01-29,-6.77
683,2020-01-29,-6.77
684,2020-01-29,-6.77
685,2020-01-29,-6.77
686,2020-01-29,-6.77
687,2020-01-29,-6.77
688,2020-01-29,-6.77
689,2020-01-29,-6.78
690,2020-01-29,-6.78
691,2020-01-29,-6.78
692,2020-01-29,-6.78
693,2020-01-29,-6.78
694,2020-01-29,-6.78
695,2020-01-30,-6.78
696,2020-01-30,-6.78
697,2020-01-30,-6.78
698,2020-01-30,-6.78
699,2020-01-30,-6.78
700,2020-01-30,-6.78
701,2020-01-30,-6.78
702,2020-01-30,-6.78
703,2020-01-30,-6.78
704,2020-01-30,-6.78
705,2020-01-30,-6.78
706,2020-01-30,-6.78
707,2020-01-30,-6.78
708,2020-01-30,-6.78
709,2020-01-30,-6.77
710,2020-01-30,-6.77
711,2020-01-30,-6.77
712,2020-01-30,-6.77
713,2020-01-30,-6.77
714,2020-01-30,-6.77
715,2020-01-30,-6.77
716,2020-01-30,-6.77
717,2020-01-30,-6.77
718,2020-01-30,-6.77
719,2020-01-31,-6.77
720,2020-01-31,-6.77
721,2020-01-31,-6.77
722,2020-01-31,-6.77
723,2020-01-31,-6.77
724,2020-01-31,-6.77
725,2020-01-31,-6.77
726,2020-01-31,-6.77
727,2020-01-31,-6.77
728,2020-01-31,-6.77
729,2020-01-31,-6.77
730,2020-01-31,-6.77
731,2020-01-31,-6.77
732,2020-01-31,-6.77
733,2020-01-31,-6.77
734,2020-01-31,-6.77
735,2020-01-31,-6.77
736,2020-01-31,-6.77
737,2020-01-31,-6.77
738,2020-01-31,-6.77
739,2020-01-31,-6.77
740,2020-01-31,-6.77
741,2020-01-31,-6.77
742,2020-01-31,-6.77
743,2020-02-01,-6.77
744,2020-02-01,-6.77
745,2020-02-01,-6.77
746,2020-02-01,-6.77
747,2020-02-01,-6.77
748,2020-02-01,-6.77
749,2020-02-01,-6.77
750,2020-02-01,-6.77
751,2020-02-01,-6.77
752,2020-02-01,-6.77
753,2020-02-01,-6.77
754,2020-02-01,-6.77
755,2020-02-01,-6.77
756,2020-02-01,-6.77
757,2020-02-01,-6.77
758,2020-02-01,-6.77
759,2020-02-01,-6.77
760,2020-02-01,-6.77
761,2020-02-01,-6.77
762,2020-02-01,-6.78
763,2020-02-01,-6.78
764,2020-02-01,-6.78
765,2020-02-01,-6.78
766,2020-02-01,-6.78
767,2020-02-02,-6.78
768,2020-02-02,-6.78
769,2020-02-02,-6.78
770,2020-02-02,-6.78
771,2020-02-02,-6.78
772,2020-02-02,-6.78
773,2020-02-02,-6.78
774,2020-02-02,-6.78
775,2020-02-02,-6.78
776,2020-02-02,-6.78
777,2020-02-02,-6.78
778,2020-02-02,-6.78
779,2020-02-02,-6.78
780,2020-02-02,-6.78
781,2020-02-02,-6.78
782,2020-02-02,-6.78
783,2020-02-02,-6.78
784,2020-02-02,-6.78
785,2020-02-02,-6.78
786,2020-02-02,-6.78
787,2020-02-02,-6.78
788,2020-02-02,-6.78
789,2020-02-02,-6.78
790,2020-02-02,-6.78
791,2020-02-03,-6.78
792,2020-02-03,-6.78
793,2020-02-03,-6.78
794,2020-02-03,-6.78
795,2020-02-03,-6.78
796,2020-02-03,-6.78
